lat,lon,date,AQI,level
39.5339,-105.07,2017-10-17T23:00,44,1
39.7794,-105.00523,2017-10-17T23:00,42,1
39.751099,-104.987198,2017-10-17T23:00,34,1
39.5689,-104.9572,2017-10-17T23:00,44,1
39.8392,-104.9489,2017-10-17T23:00,40,1
38.853097,-104.901286,2017-10-17T23:00,50,1
38.9583,-104.8167,2017-10-17T23:00,47,1
41.18222,-104.778336,2017-10-17T23:00,41,1
40.3861,-104.7367,2017-10-17T23:00,44,1
39.638542,-104.569061,2017-10-17T23:00,48,1
32.38,-104.2622,2017-10-17T23:00,87,2
43.881401,-104.191902,2017-10-17T23:00,39,1
44.155636,-103.315765,2017-10-17T23:00,34,1
29.3025,-103.178101,2017-10-17T23:00,41,1
32.7267,-103.1233,2017-10-17T23:00,44,1
43.746944,-101.941109,2017-10-17T23:00,41,1
38.7703,-99.7636,2017-10-17T23:00,44,1
36.1589,-98.9353,2017-10-17T23:00,47,1
29.514999,-98.620003,2017-10-17T23:00,71,2
29.6322,-98.565002,2017-10-17T23:00,67,2
34.632999,-98.428802,2017-10-17T23:00,48,1
29.275299,-98.311699,2017-10-17T23:00,44,1
34.2267,-98.036697,2017-10-17T23:00,47,1
32.8686,-97.9058,2017-10-17T23:00,46,1
30.483168,-97.8723,2017-10-17T23:00,58,2
32.4419,-97.8033,2017-10-17T23:00,43,1
30.3542,-97.760002,2017-10-17T23:00,43,1
35.4794,-97.7508,2017-10-17T23:00,47,1
31.088002,-97.679734,2017-10-17T23:00,48,1
35.4772,-97.4943,2017-10-17T23:00,50,1
37.897499,-97.492073,2017-10-17T23:00,54,2
35.32,-97.4883,2017-10-17T23:00,46,1
32.9881,-97.4764,2017-10-17T23:00,58,2
35.1594,-97.4728,2017-10-17T23:00,47,1
35.612801,-97.472198,2017-10-17T23:00,45,1
32.353593,-97.436748,2017-10-17T23:00,45,1
31.122527,-97.431158,2017-10-17T23:00,54,2
37.4769,-97.3664,2017-10-17T23:00,51,2
32.805818,-97.356567,2017-10-17T23:00,43,1
37.7011,-97.3139,2017-10-17T23:00,44,1
35.4778,-97.3022,2017-10-17T23:00,48,1
32.922498,-97.282088,2017-10-17T23:00,50,1
33.8825,-97.275803,2017-10-17T23:00,48,1
33.1944,-97.1933,2017-10-17T23:00,45,1
32.6558,-97.0886,2017-10-17T23:00,44,1
31.6531,-97.0706,2017-10-17T23:00,42,1
32.98426,-97.063705,2017-10-17T23:00,45,1
36.956699,-97.034401,2017-10-17T23:00,48,1
32.482081,-97.026922,2017-10-17T23:00,44,1
28.8358,-97.0056,2017-10-17T23:00,42,1
33.4107,-96.9437,2017-10-17T23:00,44,1
32.6767,-96.8717,2017-10-17T23:00,40,1
32.1772,-96.8711,2017-10-17T23:00,46,1
32.82,-96.86,2017-10-17T23:00,38,1
33.1325,-96.7861,2017-10-17T23:00,47,1
43.54792,-96.700768,2017-10-17T23:00,36,1
40.984969,-96.671425,2017-10-17T23:00,34,1
